Country1,Country2,Sentence
Japan,Germany,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy.[100]

Japanese Expansion[edit]
USS West Virginia during the attack on Pearl Harbor
On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the United States Pacific Fleet from interfering with its planned expansion in the area.[101]"
Japan,Japan,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy.[100]

Japanese Expansion[edit]
USS West Virginia during the attack on Pearl Harbor
On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the United States Pacific Fleet from interfering with its planned expansion in the area.[101]"
Germany,Japan,"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy.[100]

Japanese Expansion[edit]
USS West Virginia during the attack on Pearl Harbor
On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the United States Pacific Fleet from interfering with its planned expansion in the area.[101]"
Japan,India,"By July 1944, the US recaptured Guam and captured Tinian, which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers.[112] Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers.[113]"
Japan,Japan,"By July 1944, the US recaptured Guam and captured Tinian, which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers.[112] Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers.[113]"
India,Japan,"By July 1944, the US recaptured Guam and captured Tinian, which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers.[112] Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers.[113]"
Japan,China,"Despite the American troops outnumbering the Japanese to a rate of more than 3 to 1, the USA suffered heavy casualties in the 36 days of fighting, with over 6,800 Marines killed and another 20,000 wounded,[118] leading some historians to question the strategic worth of the action.[119] With Japan struggling to defend the homeland islands, counteroffensives in other parts of the Japanese Empire became more feasible, with important battles taking place in Burma, Borneo and China.
"
Russia,France,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[159] South Africa developed six crude weapons in the 1980s (which it later dismantled),[160] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[161] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[162] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[163][164]

The post-war world[edit]
Main article: Post–World War II economic expansion
Following World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns."
Russia,China,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[159] South Africa developed six crude weapons in the 1980s (which it later dismantled),[160] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[161] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[162] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[163][164]

The post-war world[edit]
Main article: Post–World War II economic expansion
Following World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns."
Russia,India,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[159] South Africa developed six crude weapons in the 1980s (which it later dismantled),[160] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[161] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[162] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[163][164]

The post-war world[edit]
Main article: Post–World War II economic expansion
Following World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns."
France,China,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[159] South Africa developed six crude weapons in the 1980s (which it later dismantled),[160] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[161] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[162] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[163][164]

The post-war world[edit]
Main article: Post–World War II economic expansion
Following World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns."
France,India,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[159] South Africa developed six crude weapons in the 1980s (which it later dismantled),[160] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[161] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[162] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[163][164]

The post-war world[edit]
Main article: Post–World War II economic expansion
Following World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns."
China,India,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States, the Soviet Union (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North Korea.[159] South Africa developed six crude weapons in the 1980s (which it later dismantled),[160] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.[161] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation,[162] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.[163][164]

The post-war world[edit]
Main article: Post–World War II economic expansion
Following World War II, the majority of the industrialized world lay in ruins as a result of aerial bombings, naval bombardment, and protracted land campaigns."
Germany,France,"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union."
Japan,United States,"Japan was also placed under United States occupation, that would last seven years, until 1952.[168] Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (West Germany)"
Japan,Japan,"Japan was also placed under United States occupation, that would last seven years, until 1952.[168] Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (West Germany)"
United States,Japan,"Japan was also placed under United States occupation, that would last seven years, until 1952.[168] Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (West Germany)"
India,India,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971.[175][176]"
United States,United States,"The plan went awry, with Nixon  deliberately sabotaging peace talks for political gain,[207] and the war spilled into neighboring Cambodia while South Vietnamese forces were pushed further back.[208] Eventually, the United States and North Vietnam signed the Paris Peace Accords, ending United States involvement in the war.[209] With the threat of United States retaliation gone, the North proceeded to violate the ceasefire and invaded the South with full military force."
Russia,Japan,"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada.[228]

The end of the Cold War[edit]
In 1989, the Berlin Wall separating West and East Berlin fell.
"
China,India,"This led to anti-Western and anti-American feelings in parts of the world, especially the Middle East.[267] The influence of China and India was also rising, as the world's largest populations, long marginalized by the West and by their rulers, were rapidly integrating with the world economy.[268]
However, several problems face the world."
Italy,Japan,"Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940""."
